condition,VerbOnly_mean,VerbOnly_std,n,VPStart_mean,VPStart_std,VerbOnly_se,VPStart_se
CONTENT_SCRAMBLED,0.16590047887978773,0.06049941034701235,30,0.6049360468283339,0.12878453665846756,0.011045630587606705,0.023512731928564557
FULL_SCRAMBLED,0.029294068153073265,0.05424696111858505,30,0.117071037480279,0.2182583867777318,0.00990409476025157,0.039848347267617
FUNCTION_SCRAMBLED,0.009966311325357916,0.004690973801698448,30,0.028506342014103816,0.010099693474291273,0.0008564507226186687,0.001843943313252351
JABBERWOCKY,0.1796420054053063,0.04790225448901289,30,0.5976923238406016,0.10107098062315345,0.008745715112995154,0.018452951998822898
SENTENCE,0.24876036645273417,0.05405560442531099,30,0.6101454278657304,0.09031851743659856,0.00986915796777297,0.016489829786816235
