item_id,condition,cue_word,mass_VERB,mass_BEHAVE,mass_NEG,mass_ADV,mass_OTHER,mass_VerbOnly,mass_VPStart
1,SENTENCE,can,0.35085024948057253,0.13423786201747134,0.020359301175631117,0.1260045850503957,0.2221450386532524,0.35085024948057253,0.505447412673675
1,JABBERWOCKY,can,0.15663954914634814,0.24227221006003674,0.016762566105171572,0.08701939196907915,0.20258348745846888,0.15663954914634814,0.41567432531155646
1,FULL_SCRAMBLED,can,0.009523318949504755,0.0016609915328444913,0.010241311785648577,0.006867041331133805,0.34897486024419777,0.009523318949504755,0.021425622267997824
1,CONTENT_SCRAMBLED,can,0.15663954914634814,0.24227221006003674,0.016762566105171572,0.08701939196907915,0.20258348745846888,0.15663954914634814,0.41567432531155646
1,FUNCTION_SCRAMBLED,can,0.010550402716035023,0.0009201077045872808,0.01849842224328313,0.0033324436226394027,0.45577003169455566,0.010550402716035023,0.029968932663905434
2,SENTENCE,must,0.22243239002273185,0.41204531676339684,0.040122920405337936,0.04647501754880068,0.252084131769152,0.22243239002273185,0.6746006271914666
2,JABBERWOCKY,must,0.18836323938376154,0.40131227691017557,0.050328262248513056,0.0782151015009731,0.20994399047049228,0.18836323938376154,0.6400037785424502
2,FULL_SCRAMBLED,must,0.05520578879804816,0.016313434491166845,0.03493415687989909,0.00959235396294389,0.5376824378035963,0.05520578879804816,0.1064533801691141
2,CONTENT_SCRAMBLED,must,0.1569112903343921,0.5051859466038877,0.035513623890437884,0.054835561495565344,0.15276369393541245,0.1569112903343921,0.6976108608287177
2,FUNCTION_SCRAMBLED,must,0.007097227047779597,0.0023347509413724765,0.009213984332745895,0.004708518419647589,0.45956653766916133,0.007097227047779597,0.01864596232189797
3,SENTENCE,will,0.2879242195012921,0.31362063060805667,0.05119887819091673,0.11349519556461019,0.2019503458395775,0.2879242195012921,0.6527437283002655
3,JABBERWOCKY,will,0.28927591143292375,0.16531819151714444,0.05641223358543357,0.10650406575587112,0.3250496694963658,0.28927591143292375,0.5110063365355018
3,FULL_SCRAMBLED,will,0.006123288098024204,0.00042069636401720345,0.01202035101596266,0.0031179365614661947,0.4840669766708743,0.006123288098024204,0.018564335478004068
3,CONTENT_SCRAMBLED,will,0.030096191863776767,0.08233474809821928,0.031595015701896045,0.015485988440559595,0.7539767875350663,0.030096191863776767,0.1440259556638921
3,FUNCTION_SCRAMBLED,will,0.004152412337134592,0.0004607218725141138,0.021385360829299316,0.0016609828744549304,0.5786586198955774,0.004152412337134592,0.025998495038948022
4,SENTENCE,might,0.24287964381437632,0.32856399409865844,0.11702610838983674,0.06811096093588276,0.18744864933614735,0.24287964381437632,0.6884697463028715
4,JABBERWOCKY,might,0.14784598461119458,0.2911043698404683,0.048975121331750415,0.0551088770662318,0.2730847982202249,0.14784598461119458,0.4879254757834133
4,FULL_SCRAMBLED,might,0.004912830379907973,0.009331929497420788,0.002406030966085382,0.0024831565824570134,0.22846098206355236,0.004912830379907973,0.016650790843414143
4,CONTENT_SCRAMBLED,might,0.1451896488579223,0.4244423050804471,0.1188339481886942,0.09622857354770531,0.15741005853851675,0.1451896488579223,0.6884659021270636
4,FUNCTION_SCRAMBLED,might,0.02182010395335965,0.0007973563915584236,0.020306100050220266,0.0282775887317257,0.4873741357441759,0.02182010395335965,0.04292356039513834
5,SENTENCE,may,0.20235240089095896,0.27487757947164937,0.15039607005019207,0.07206121856143,0.2467111910773383,0.20235240089095896,0.6276260504128004
5,JABBERWOCKY,may,0.11420897493007942,0.46801828168099746,0.08854514985068818,0.07697426495724358,0.17108076738804812,0.11420897493007942,0.6707724064617651
5,FULL_SCRAMBLED,may,0.0016011879706638865,0.002217446373833809,0.0004782428441103548,0.00036990751686971635,0.1954590568493586,0.0016011879706638865,0.00429687718860805
5,CONTENT_SCRAMBLED,may,0.09198854176793247,0.36782920686528087,0.060472524848592,0.060811146642663516,0.22866429444547975,0.09198854176793247,0.5202902734818053
5,FUNCTION_SCRAMBLED,may,0.006868817363283597,0.0021144096681382507,0.006893877274706028,0.008664297565701418,0.4707618854154134,0.006868817363283597,0.015877104306127876
6,SENTENCE,can,0.2692615969936014,0.08066497603431344,0.03960881586681353,0.14793796184676467,0.30333103330485756,0.2692615969936014,0.3895353888947284
6,JABBERWOCKY,can,0.17341944068903103,0.2784208499651868,0.016156199686520267,0.11247715783247259,0.24370303607429378,0.17341944068903103,0.4679964903407381
6,FULL_SCRAMBLED,can,0.015231359022436664,0.0015212827129289508,0.01879995732451789,0.006581430992810056,0.5231019920174731,0.015231359022436664,0.035552599059883505
6,CONTENT_SCRAMBLED,can,0.17022818623809144,0.26189934911963064,0.015417380971484818,0.07199940572900232,0.2084918031905545,0.17022818623809144,0.4475449163292069
6,FUNCTION_SCRAMBLED,can,0.005522349922102876,0.002113763490342535,0.013073869675281458,0.006860831563244574,0.5369216368126217,0.005522349922102876,0.02070998308772687
7,SENTENCE,will,0.2776672740801587,0.262660113745369,0.07356557123785024,0.12293128989404067,0.21957594403647818,0.2776672740801587,0.6138929590633779
7,JABBERWOCKY,will,0.1904674167308258,0.2186320809269091,0.08398417382704793,0.06734495981072541,0.2563118604812189,0.1904674167308258,0.4930836714847828
7,FULL_SCRAMBLED,will,0.0004402623917485471,0.0013758099994447548,0.0002581290345915477,5.668317317031324e-05,0.01765054788575071,0.0004402623917485471,0.0020742014257848496
7,CONTENT_SCRAMBLED,will,0.2523688429428148,0.283089883683715,0.05257485529000405,0.12722681535524316,0.2162670608231565,0.2523688429428148,0.5880335819165339
7,FUNCTION_SCRAMBLED,will,0.006831282997154631,0.0014671445096610114,0.01499461694038473,0.0035871034779120237,0.5273827760393033,0.006831282997154631,0.023293044447200373
8,SENTENCE,must,0.27045485348207876,0.3364390919232392,0.044564937368704705,0.0708080447948305,0.22114496138237882,0.27045485348207876,0.6514588827740226
8,JABBERWOCKY,must,0.13605103508598404,0.50344414762003,0.03801663815102074,0.07156207635853207,0.16977726176992292,0.13605103508598404,0.6775118208570348
8,FULL_SCRAMBLED,must,0.0,5.38607318958384e-05,0.0,0.0,0.0006095690514484886,0.0,5.38607318958384e-05
8,CONTENT_SCRAMBLED,must,0.13605103508598404,0.50344414762003,0.03801663815102074,0.07156207635853207,0.16977726176992292,0.13605103508598404,0.6775118208570348
8,FUNCTION_SCRAMBLED,must,0.014968154049711302,0.002593409633846022,0.03610275479150005,0.003270607063313946,0.48422808772011194,0.014968154049711302,0.05366431847505737
9,SENTENCE,will,0.3395348085941805,0.1750986328588624,0.06128710145276273,0.10830037056439323,0.2727707505655417,0.3395348085941805,0.5759205429058056
9,JABBERWOCKY,will,0.2467106426920509,0.2638792549696518,0.06546051392069785,0.13315513889392605,0.23132216277736006,0.2467106426920509,0.5760504115824006
9,FULL_SCRAMBLED,will,0.004925225337501615,0.011097229820734356,0.0010212347988272086,0.006169080676045269,0.5113064267134177,0.004925225337501615,0.01704368995706318
9,CONTENT_SCRAMBLED,will,0.250706501698005,0.2690428748319391,0.06565610296092927,0.0884414364118129,0.2267007582631777,0.250706501698005,0.5854054794908734
9,FUNCTION_SCRAMBLED,will,0.008966320063336752,0.0013718015543418005,0.01618701926781796,0.0039904931909404695,0.5365077073947759,0.008966320063336752,0.026525140885496512
10,SENTENCE,will,0.3103516189767106,0.27308034294401295,0.05516329904276063,0.08732328969563241,0.23709548500119126,0.3103516189767106,0.6385952609634842
10,JABBERWOCKY,will,0.24937493851757608,0.2188199500524206,0.08558003188954899,0.10370474442606792,0.2564917768468149,0.24937493851757608,0.5537749204595457
10,FULL_SCRAMBLED,will,0.0058680773072410375,0.0202887427949463,0.007073183100146707,0.009569053443556186,0.43851726291904924,0.0058680773072410375,0.033230003202334046
10,CONTENT_SCRAMBLED,will,0.25117104160017334,0.18534005800029263,0.09130714979983168,0.1110785189885064,0.29158253611967666,0.25117104160017334,0.5278182494002976
10,FUNCTION_SCRAMBLED,will,0.008464001541142352,0.0009917879360727966,0.015189298239420168,0.003960996720707044,0.61161147452367,0.008464001541142352,0.024645087716635317
11,SENTENCE,might,0.1765340163710789,0.3488934638698993,0.10190661857632222,0.11168615506539936,0.22251330239669187,0.1765340163710789,0.6273340988173004
11,JABBERWOCKY,might,0.1385459503690072,0.4873409955689567,0.08388574611308286,0.0790917248596088,0.15200751094744192,0.1385459503690072,0.7097726920510468
11,FULL_SCRAMBLED,might,0.13131241389055504,0.42940970864583505,0.07914769792478182,0.08526199495099718,0.20427748776273802,0.13131241389055504,0.6398698204611719
11,CONTENT_SCRAMBLED,might,0.13689868493020185,0.4537764406086353,0.08887776323899743,0.07365314299386228,0.17764571147199604,0.13689868493020185,0.6795528887778346
11,FUNCTION_SCRAMBLED,might,0.009022123165777884,0.0011906812724191695,0.011723390576662496,0.005101046888739802,0.4612229495833162,0.009022123165777884,0.02193619501485955
12,SENTENCE,should,0.2437391781313636,0.4659055942975101,0.04632860496894864,0.06229152238665847,0.14642049144458724,0.2437391781313636,0.7559733773978223
12,JABBERWOCKY,should,0.16044487874023616,0.45774384423930314,0.08170967302066856,0.07189010059664724,0.15322048478992656,0.16044487874023616,0.6998983960002079
12,FULL_SCRAMBLED,should,0.1662654147730791,0.4700069621139846,0.048249695708364015,0.0781023509480292,0.19040707179738092,0.1662654147730791,0.6845220725954277
12,CONTENT_SCRAMBLED,should,0.13065533183544176,0.5377446599268296,0.06550756718024786,0.0872995972094941,0.14741241543379147,0.13065533183544176,0.7339075589425192
12,FUNCTION_SCRAMBLED,should,0.008025284187169746,0.002036484205746092,0.01668952683394309,0.0046204494865378365,0.48905812215525657,0.008025284187169746,0.02675129522685893
13,SENTENCE,would,0.20384856215969194,0.3808440377106308,0.06373356310359668,0.11217132191450219,0.19807883269095328,0.20384856215969194,0.6484261629739194
13,JABBERWOCKY,would,0.19303028911963338,0.38521068879344966,0.07967479379658471,0.08724522838019766,0.19730500717560062,0.19303028911963338,0.6579157717096678
13,FULL_SCRAMBLED,would,0.0015143290511332452,0.00574909828719683,0.0007540486694779247,0.0003337924208608456,0.08672992048377637,0.0015143290511332452,0.008017476007808
13,CONTENT_SCRAMBLED,would,0.14495466128391854,0.5042968564848707,0.021123634054674767,0.0441977301161387,0.23641913175924856,0.14495466128391854,0.670375151823464
13,FUNCTION_SCRAMBLED,would,0.00466409683576785,0.0005162175075383857,0.02035040892951656,0.002950996917206794,0.6978745641972637,0.00466409683576785,0.025530723272822797
14,SENTENCE,may,0.20510447323977132,0.18235033652672428,0.1766914490472118,0.08168127926182933,0.3179480646758748,0.20510447323977132,0.5641462588137074
14,JABBERWOCKY,may,0.05413708360720193,0.2987615137026296,0.03349888727098005,0.04540176715818234,0.1491211058528279,0.05413708360720193,0.3863974845808116
14,FULL_SCRAMBLED,may,0.0010994698095601052,0.024004799808608368,0.001628835940209683,0.0048549684579484165,0.1387374328187434,0.0010994698095601052,0.026733105558378156
14,CONTENT_SCRAMBLED,may,0.11641905536816921,0.4154607849668537,0.07307569129989133,0.09859646347831585,0.19976621426758356,0.11641905536816921,0.6049555316349142
14,FUNCTION_SCRAMBLED,may,0.005368975689634681,0.0023238182038767263,0.015245528353261761,0.008295797946630046,0.6652776488190284,0.005368975689634681,0.02293832224677317
15,SENTENCE,may,0.2044035758881364,0.2945811138342833,0.08095353427779628,0.08685236623568926,0.284506213858549,0.2044035758881364,0.579938224000216
15,JABBERWOCKY,may,0.1435790549730882,0.37923190536821494,0.09745596294669667,0.06521898315986618,0.20667368407885078,0.1435790549730882,0.6202669232879998
15,FULL_SCRAMBLED,may,0.0016877436937647872,0.004880542997852899,0.00025987539993366227,0.00048017982771852985,0.05567149280250305,0.0016877436937647872,0.006828162091551349
15,CONTENT_SCRAMBLED,may,0.0683814502262976,0.5508589153323555,0.07378049110411666,0.07970678183119162,0.20562329038511962,0.0683814502262976,0.6930208566627698
15,FUNCTION_SCRAMBLED,may,0.007630877633346245,0.002833247752278112,0.007853161208913662,0.0059103045059600845,0.5742726648168173,0.007630877633346245,0.018317286594538018
16,SENTENCE,will,0.29936914653444546,0.21079907602688763,0.07921254618850071,0.09832336325780489,0.2772765875233745,0.29936914653444546,0.5893807687498338
16,JABBERWOCKY,will,0.2183967366363504,0.3315662701497786,0.07051742788826232,0.09937054871988948,0.23452236705634277,0.2183967366363504,0.6204804346743913
16,FULL_SCRAMBLED,will,0.0019411688190302812,0.0014610049365728628,0.0878793952979322,0.010406317098386353,0.7828501508338377,0.0019411688190302812,0.09128156905353535
16,CONTENT_SCRAMBLED,will,0.2183967366363504,0.3315662701497786,0.07051742788826232,0.09937054871988948,0.23452236705634277,0.2183967366363504,0.6204804346743913
16,FUNCTION_SCRAMBLED,will,0.00965546682709828,0.0005262808699626476,0.025000146095408127,0.002453346911352128,0.5420632184832357,0.00965546682709828,0.035181893792469054
17,SENTENCE,can,0.32167176264556474,0.0852602506056428,0.03021119720870047,0.17020672911166912,0.2707165347710543,0.32167176264556474,0.437143210459908
17,JABBERWOCKY,can,0.18855710437492235,0.13132153745391406,0.015774512648931704,0.060876283154357225,0.2395364582844195,0.18855710437492235,0.3356531544777681
17,FULL_SCRAMBLED,can,0.0024217974350904115,0.005332556407665834,0.0008703022613190114,0.0005239540987531655,0.26562544201442506,0.0024217974350904115,0.008624656104075257
17,CONTENT_SCRAMBLED,can,0.18855710437492235,0.13132153745391406,0.015774512648931704,0.060876283154357225,0.2395364582844195,0.18855710437492235,0.3356531544777681
17,FUNCTION_SCRAMBLED,can,0.008811978754238226,0.003477595091680996,0.006684157575364225,0.00540702226862777,0.4902308005839586,0.008811978754238226,0.018973731421283446
18,SENTENCE,would,0.2618236404923664,0.31643939393325127,0.05220215975714382,0.10735686135012656,0.21103129884431837,0.2618236404923664,0.6304651941827615
18,JABBERWOCKY,would,0.20117950175335864,0.40554053399682743,0.06239727585489163,0.09659112985536922,0.17825519272810197,0.20117950175335864,0.6691173116050777
