cue_family,condition_1,condition_2,n_pairs,mean_1,sd_1,mean_2,sd_2,diff_mean,diff_sd,t_stat,p_value,cohens_d,p_fdr
infinitival_to,JABBERWOCKY,FULL_SCRAMBLED,30,0.45142090237083415,0.11822430515413371,0.18951499794226645,0.12990141158263993,0.26190590442856776,0.15081266111454816,9.352042785308301,2.949956067394883e-10,1.736630747664083,5.899912134789767e-10
determiners,JABBERWOCKY,FULL_SCRAMBLED,30,0.07996871030093947,0.009926326625172496,0.07016624253046758,0.01751226162930312,0.009802467770471897,0.01985221074515851,2.6590441305631023,0.012623909165546742,0.4937720990526201,0.012623909165546742
infinitival_to,JABBERWOCKY,CONTENT_SCRAMBLED,30,0.45142090237083415,0.11822430515413371,0.44621940204815475,0.1331523327663794,0.005201500322679446,0.04641716800536367,0.6034606953779549,0.5508935367875083,0.11205983790476821,0.5746750319259402
determiners,JABBERWOCKY,CONTENT_SCRAMBLED,30,0.07996871030093947,0.009926326625172496,0.07886267348852319,0.009114641566573977,0.0011060368124162778,0.010493643759016602,0.5675998399032314,0.5746750319259402,0.10540064422007105,0.5746750319259402
infinitival_to,JABBERWOCKY,FUNCTION_SCRAMBLED,30,0.45142090237083415,0.11822430515413371,0.19012701663014014,0.12046443114729816,0.26129388574069407,0.15848281415472654,8.878632331935057,9.121015140110911e-10,1.648720633428387,1.8242030280221822e-09
determiners,JABBERWOCKY,FUNCTION_SCRAMBLED,30,0.07996871030093947,0.009926326625172496,0.07716956219446729,0.015076372887050278,0.0027991481064721787,0.01815015014023043,0.8305095966958095,0.4130361028972904,0.1542217604177153,0.4130361028972904
determiners,JABBERWOCKY,CUE_DELETED,30,0.07996871030093947,0.009926326625172496,0.06609973593294853,0.011167067396713642,0.013868974367990934,0.008134762891677694,9.181178809030053,4.4184502413494066e-10,1.704902103806818,4.4184502413494066e-10
