cue_family,condition_1,condition_2,n_pairs,mean_1,sd_1,mean_2,sd_2,diff_mean,diff_sd,t_stat,p_value,cohens_d,p_fdr
infinitival_to,JABBERWOCKY,FULL_SCRAMBLED,30,0.43323666856134274,0.11832549482544272,0.18448689680347646,0.11424812414158692,0.24874977175786625,0.15169684538991748,8.83049685845501,1.0247249297170964e-09,1.639782100402197,2.0494498594341927e-09
determiners,JABBERWOCKY,FULL_SCRAMBLED,30,0.0659334585769102,0.009552837908688343,0.06650018204018124,0.015525944901668266,-0.0005667234632710461,0.01746819954524486,-0.17471172354539535,0.8625202115457384,-0.03244315258725779,0.8625202115457384
infinitival_to,JABBERWOCKY,CONTENT_SCRAMBLED,30,0.43323666856134274,0.11832549482544272,0.4233569595358858,0.13292114749110767,0.00987970902545688,0.041156056349931705,1.2927346803165654,0.20630790056786533,0.24005480363458767,0.41261580113573065
determiners,JABBERWOCKY,CONTENT_SCRAMBLED,30,0.0659334585769102,0.009552837908688343,0.0685242226626239,0.01885259475231284,-0.0025907640857136963,0.017856610659605997,-0.7813180140357744,0.44094768378696203,-0.14508711284019568,0.44094768378696203
infinitival_to,JABBERWOCKY,FUNCTION_SCRAMBLED,30,0.43323666856134274,0.11832549482544272,0.19130569722413687,0.14469305565301685,0.24193097133720584,0.16987268675719638,7.669497536488424,1.8618428903917118e-08,1.424189938686284,3.7236857807834236e-08
determiners,JABBERWOCKY,FUNCTION_SCRAMBLED,30,0.0659334585769102,0.009552837908688343,0.07312145300335639,0.019525400648854756,-0.0071879944264461905,0.019734195754449832,-1.9614954214918368,0.05948499202889415,-0.3642405556266655,0.05948499202889415
determiners,JABBERWOCKY,CUE_DELETED,30,0.0659334585769102,0.009552837908688343,0.05939951668624417,0.011901849142406318,0.0065339418906660285,0.011147663528180933,3.156388227230451,0.003708526498523455,0.586126579273624,0.003708526498523455
