cue_family,condition_1,condition_2,n_pairs,mean_1,sd_1,mean_2,sd_2,diff_mean,diff_sd,t_stat,p_value,cohens_d,p_fdr
infinitival_to,JABBERWOCKY,FULL_SCRAMBLED,30,0.41570163300408847,0.12657280323514122,0.1994350224105195,0.12249946614652434,0.21626661059356897,0.16818707058254956,6.924618737295417,1.307092778574594e-07,1.2858694181692225,2.9728512589926528e-09
determiners,JABBERWOCKY,FULL_SCRAMBLED,30,0.11148532455796764,0.011444096613394891,0.07234550110115379,0.021355618039666676,0.039139823456813855,0.02428960040485211,8.677557321815268,1.4864256294963264e-09,1.6113819414252386,2.9728512589926528e-09
infinitival_to,JABBERWOCKY,CONTENT_SCRAMBLED,30,0.41570163300408847,0.12657280323514122,0.41254188881406056,0.13188524808865223,0.0031597441900278983,0.05321157087374922,0.31977524685482095,0.7514311580203306,0.059380772605356215,0.9379910969481791
determiners,JABBERWOCKY,CONTENT_SCRAMBLED,30,0.11148532455796764,0.011444096613394891,0.11166743929497898,0.01023162655919596,-0.00018211473701133704,0.01249758369177403,-0.07847259892802486,0.9379910969481791,-0.014571995795571734,0.9379910969481791
infinitival_to,JABBERWOCKY,FUNCTION_SCRAMBLED,30,0.41570163300408847,0.12657280323514122,0.212673798186006,0.12221360847238356,0.20302783481808243,0.15720348444088855,6.954924407812158,1.2059595671567728e-07,1.2914970399045111,2.4119191343135455e-07
determiners,JABBERWOCKY,FUNCTION_SCRAMBLED,30,0.11148532455796764,0.011444096613394891,0.08730243032987346,0.02318688706980453,0.02418289422809418,0.02072487957557304,6.2836973530731886,7.335930193475597e-07,1.1668533049811716,7.335930193475597e-07
determiners,JABBERWOCKY,CUE_DELETED,30,0.11148532455796764,0.011444096613394891,0.0967556363739277,0.015180407758102239,0.014729688184039939,0.01100429695005653,7.208256809931808,6.176088340220946e-08,1.3385396859873244,6.176088340220946e-08
