condition,mean,std,count,se
CONTENT_SCRAMBLED,0.2617574550335121,0.06843902007264467,30,0.012495198369112113
CUE_DELETED,0.01628471004587482,0.011943453699883508,30,0.0021805663353149114
FULL_SCRAMBLED,0.07121892426785052,0.07085148656024698,30,0.01293565247394046
FUNCTION_SCRAMBLED,0.07413213465333683,0.02035862830649624,30,0.0037169599877770634
JABBERWOCKY,0.27882618581655455,0.07395630795467792,30,0.01350251271219195
SENTENCE,0.5633474365815345,0.060428393859766956,30,0.01103266481026701
