set_id,cue_family,cue_word,condition,context_k,target_mass,mass_VERB,mass_NOUN,mass_ADJ,mass_NP_START,mass_PARTICIPLE,mass_CLAUSE_START
2,infinitival_to,to,CUE_DELETED,2,0.0,0.0,,,,,
2,infinitival_to,to,CUE_DELETED,4,0.00018184429791290313,0.00018184429791290313,,,,,
2,infinitival_to,to,CUE_DELETED,8,0.00018184429791290313,0.00018184429791290313,,,,,
2,infinitival_to,to,CUE_DELETED,full,0.00018184429791290313,0.00018184429791290313,,,,,
3,infinitival_to,to,SENTENCE,1,0.06323957566200988,0.06323957566200988,,,,,
3,infinitival_to,to,SENTENCE,2,0.47853180106176296,0.47853180106176296,,,,,
3,infinitival_to,to,SENTENCE,4,0.4394530759382178,0.4394530759382178,,,,,
3,infinitival_to,to,SENTENCE,8,0.4394530759382178,0.4394530759382178,,,,,
3,infinitival_to,to,SENTENCE,full,0.4394530759382178,0.4394530759382178,,,,,
3,infinitival_to,to,JABBERWOCKY,1,0.06323957566200988,0.06323957566200988,,,,,
3,infinitival_to,to,JABBERWOCKY,2,0.47853180106176296,0.47853180106176296,,,,,
3,infinitival_to,to,JABBERWOCKY,4,0.41328323223569896,0.41328323223569896,,,,,
3,infinitival_to,to,JABBERWOCKY,8,0.41328323223569896,0.41328323223569896,,,,,
3,infinitival_to,to,JABBERWOCKY,full,0.41328323223569896,0.41328323223569896,,,,,
3,infinitival_to,to,FULL_SCRAMBLED,1,0.018100650820997544,0.018100650820997544,,,,,
3,infinitival_to,to,FULL_SCRAMBLED,2,0.02973476359329652,0.02973476359329652,,,,,
3,infinitival_to,to,FULL_SCRAMBLED,4,0.012517722498159856,0.012517722498159856,,,,,
3,infinitival_to,to,FULL_SCRAMBLED,8,0.012517722498159856,0.012517722498159856,,,,,
3,infinitival_to,to,FULL_SCRAMBLED,full,0.012517722498159856,0.012517722498159856,,,,,
3,infinitival_to,to,CONTENT_SCRAMBLED,1,0.06323957566200988,0.06323957566200988,,,,,
3,infinitival_to,to,CONTENT_SCRAMBLED,2,0.47853180106176296,0.47853180106176296,,,,,
3,infinitival_to,to,CONTENT_SCRAMBLED,4,0.3541291176152299,0.3541291176152299,,,,,
3,infinitival_to,to,CONTENT_SCRAMBLED,8,0.3541291176152299,0.3541291176152299,,,,,
3,infinitival_to,to,CONTENT_SCRAMBLED,full,0.3541291176152299,0.3541291176152299,,,,,
