item_id,condition,cue_word,cue_position,mass_VERB,mass_BEHAVE,mass_NEG,mass_ADV,mass_OTHER,mass_VerbOnly,mass_VPStart
1,SENTENCE,can,2,0.350841775565641,0.13423630634497385,0.020358867601316888,0.12600052345078439,0.22213839788309997,0.350841775565641,0.5054369495119317
1,JABBERWOCKY,can,2,0.15663987790321698,0.24226710195216583,0.016762811959779356,0.08702020796772558,0.2025847599870758,0.15663987790321698,0.41566979181516217
1,FULL_SCRAMBLED,can,3,0.025601618781365687,0.036054271418834105,0.00411002773034852,0.009854583022388397,0.2343442717756261,0.025601618781365687,0.06576591793054831
1,CONTENT_SCRAMBLED,can,2,0.15663987790321698,0.24226710195216583,0.016762811959779356,0.08702020796772558,0.2025847599870758,0.15663987790321698,0.41566979181516217
1,FUNCTION_SCRAMBLED,can,4,0.019109954446321353,0.032516242456040345,0.009043572848895565,0.010074606056150515,0.36513643096986925,0.019109954446321353,0.06066976975125726
2,SENTENCE,must,2,0.2224306231182709,0.4120275786262937,0.04012292438164877,0.04647455090889707,0.25208240726351505,0.2224306231182709,0.6745811261262133
2,JABBERWOCKY,must,2,0.18835938447227818,0.4012947138689924,0.05032838851911947,0.07821379257075023,0.20993876842112513,0.18835938447227818,0.63998248686039
2,FULL_SCRAMBLED,must,1,0.14741401392529951,0.5207982579049713,0.04485015163663775,0.05189798297578818,0.19943756127395318,0.14741401392529951,0.7130624234669085
2,CONTENT_SCRAMBLED,must,2,0.15691241727836314,0.5051709033032239,0.03551326910383068,0.054836374562000856,0.1527650047901261,0.15691241727836314,0.6975965896854177
2,FUNCTION_SCRAMBLED,must,4,0.19989852864091517,0.34038632801093627,0.03236348938662559,0.03307696800038684,0.25688393932796316,0.19989852864091517,0.572648346038477
3,SENTENCE,will,2,0.2879263411668944,0.3136059746029787,0.05119738340363256,0.11349078254352207,0.20194593932683347,0.2879263411668944,0.6527296991735057
3,JABBERWOCKY,will,2,0.2892711520908051,0.1653076382353902,0.056411728903185576,0.10650365376204718,0.32504603095003404,0.2892711520908051,0.5109905192293809
3,FULL_SCRAMBLED,will,3,0.006951590885364567,0.007227800739201484,0.005726054350816412,0.002454847108310787,0.6668132252962096,0.006951590885364567,0.019905445975382463
3,CONTENT_SCRAMBLED,will,2,0.03009588346685632,0.08233341326194932,0.03159608387613844,0.01548581645511149,0.753952965435019,0.03009588346685632,0.14402538060494408
3,FUNCTION_SCRAMBLED,will,0,0.06376367602206301,0.05457699426187901,0.014700722684210632,0.024032350593188312,0.3902769639826147,0.06376367602206301,0.13304139296815265
4,SENTENCE,might,2,0.24287915561944828,0.32855147915688576,0.11702529334070277,0.06810964081523707,0.18744754348517745,0.24287915561944828,0.6884559281170368
4,JABBERWOCKY,might,2,0.14784745475481031,0.29109926642559003,0.04897545696803718,0.055109377935878,0.27308255992102204,0.14784745475481031,0.4879221781484375
4,FULL_SCRAMBLED,might,5,0.02901827848108951,0.061772255357936956,0.008074176097579766,0.005920189334574388,0.5360827060758311,0.02901827848108951,0.09886470993660623
4,CONTENT_SCRAMBLED,might,2,0.14518404889895464,0.42443187400567695,0.11884005084721139,0.09622519972617738,0.15740401555012795,0.14518404889895464,0.688455973751843
4,FUNCTION_SCRAMBLED,might,0,0.07289016160211759,0.06332646474038484,0.018926000528153963,0.03020966074836906,0.4187556792021496,0.07289016160211759,0.15514262687065639
5,SENTENCE,may,2,0.20234898736089235,0.27487752184606506,0.15039092674851418,0.07205933152727084,0.24670702028743108,0.20234898736089235,0.6276174359554716
5,JABBERWOCKY,may,2,0.11420438742425176,0.46800581292336574,0.08854365532533848,0.07697100170844351,0.17107588763610693,0.11420438742425176,0.670753855672956
5,FULL_SCRAMBLED,may,6,0.012229992164066061,0.047577175551850814,0.005836760974489152,0.005690994890755974,0.2264518388765282,0.012229992164066061,0.06564392869040603
5,CONTENT_SCRAMBLED,may,2,0.09198830009700032,0.36781785605853656,0.06047306083200965,0.060809170798165724,0.22865998493216466,0.09198830009700032,0.5202792169875465
5,FUNCTION_SCRAMBLED,may,0,0.04247260612464743,0.05112515899236314,0.011473785241832957,0.019462626631138846,0.3222617665451253,0.04247260612464743,0.10507155035884352
6,SENTENCE,can,2,0.2692572977175587,0.08066464122384787,0.03960865201224806,0.14793247085617622,0.3033259635558352,0.2692572977175587,0.3895305909536546
6,JABBERWOCKY,can,2,0.17341603244130965,0.2784199050729512,0.016155859171703923,0.11247320634720381,0.24369848307833308,0.17341603244130965,0.4679917966859648
6,FULL_SCRAMBLED,can,6,0.10019437522714725,0.0724200716795167,0.006891263408761006,0.0216885670015472,0.4590147555063595,0.10019437522714725,0.17950571031542495
6,CONTENT_SCRAMBLED,can,2,0.17022565898514586,0.2619029038614826,0.01541643215023214,0.0719989410135895,0.2084881084956578,0.17022565898514586,0.4475449949968606
6,FUNCTION_SCRAMBLED,can,4,0.22453670963295735,0.0715038084454136,0.009863751809461974,0.024993038678076118,0.3223122533381684,0.22453670963295735,0.3059042698878329
7,SENTENCE,will,2,0.2776602952690155,0.26265775389038026,0.07356314093703986,0.12292801095463801,0.2195699637159123,0.2776602952690155,0.6138811900964356
7,JABBERWOCKY,will,2,0.19046616818377515,0.21862578011496225,0.08398250301979715,0.06734616036555963,0.2563086585578276,0.19046616818377515,0.49307445131853456
7,FULL_SCRAMBLED,will,6,0.04209446654931526,0.0490949373197509,0.013803969770378899,0.0097903862624662,0.3857840801611019,0.04209446654931526,0.10499337363944505
7,CONTENT_SCRAMBLED,will,2,0.25236620625219075,0.2830729343331768,0.05257378394890111,0.1272219475649763,0.21626343330717646,0.25236620625219075,0.5880129245342687
7,FUNCTION_SCRAMBLED,will,0,0.06376367602206301,0.05457699426187901,0.014700722684210632,0.024032350593188312,0.3902769639826147,0.06376367602206301,0.13304139296815265
8,SENTENCE,must,2,0.2704489979550999,0.3364322082270519,0.04456439804198453,0.07080667126865592,0.2211388466603239,0.2704489979550999,0.6514456042241363
8,JABBERWOCKY,must,2,0.13604749059231835,0.5034405156438879,0.0380155242892215,0.07155952560424339,0.1697735255365842,0.13604749059231835,0.6775035305254278
8,FULL_SCRAMBLED,must,6,0.10902769392123446,0.15509384890901856,0.011284096079180017,0.009384474127728026,0.41916586707520764,0.10902769392123446,0.27540563890943304
8,CONTENT_SCRAMBLED,must,2,0.13604749059231835,0.5034405156438879,0.0380155242892215,0.07155952560424339,0.1697735255365842,0.13604749059231835,0.6775035305254278
8,FUNCTION_SCRAMBLED,must,0,0.08395771544019226,0.06070419253956061,0.015193657913187053,0.01938017389329616,0.3448347681769519,0.08395771544019226,0.15985556589293992
9,SENTENCE,will,2,0.3395269195862056,0.17510627748197294,0.06128697918029502,0.10829816331533948,0.2727622759048245,0.3395269195862056,0.5759201762484736
9,JABBERWOCKY,will,2,0.2466990750763216,0.26388506636430975,0.06545624349382706,0.1331467460768181,0.23131197169277584,0.2466990750763216,0.5760403849344584
9,FULL_SCRAMBLED,will,4,0.21028903414844535,0.20524537788151065,0.031349128839792684,0.06905170835671015,0.3182198735012207,0.21028903414844535,0.4468835408697487
9,CONTENT_SCRAMBLED,will,2,0.2507015511582722,0.26903060790209565,0.06565594648418482,0.08844025529106148,0.22669670750474324,0.2507015511582722,0.5853881055445527
9,FUNCTION_SCRAMBLED,will,0,0.06376367602206301,0.05457699426187901,0.014700722684210632,0.024032350593188312,0.3902769639826147,0.06376367602206301,0.13304139296815265
10,SENTENCE,will,2,0.3103399418105255,0.27307852763624396,0.055163416709547164,0.08732151444564806,0.23708729965801467,0.3103399418105255,0.6385818861563166
10,JABBERWOCKY,will,2,0.24936780152347637,0.21881557237065863,0.08558310324588092,0.10370014177169651,0.25648550948972115,0.24936780152347637,0.5537664771400159
10,FULL_SCRAMBLED,will,0,0.06376367602206301,0.05457699426187901,0.014700722684210632,0.024032350593188312,0.3902769639826147,0.06376367602206301,0.13304139296815265
10,CONTENT_SCRAMBLED,will,2,0.25116318711661734,0.1853423531865701,0.09130768365139375,0.11107479368365603,0.29157210314588156,0.25116318711661734,0.5278132239545812
10,FUNCTION_SCRAMBLED,will,0,0.06376367602206301,0.05457699426187901,0.014700722684210632,0.024032350593188312,0.3902769639826147,0.06376367602206301,0.13304139296815265
11,SENTENCE,might,2,0.1765350740242866,0.34888124741883075,0.10190217499257415,0.11168370405357564,0.22251367872740957,0.1765350740242866,0.6273184964356915
11,JABBERWOCKY,might,2,0.13854541625187267,0.48731534743274096,0.08388745490810834,0.0790920096624177,0.15200660246046027,0.13854541625187267,0.709748218592722
11,FULL_SCRAMBLED,might,2,0.13130935538720223,0.42939198711974313,0.07915107131339028,0.08526046435144963,0.20427265293619712,0.13130935538720223,0.6398524138203356
11,CONTENT_SCRAMBLED,might,2,0.13689211625387543,0.4537690312718041,0.0888804233763949,0.07364847723511048,0.17763821131302393,0.13689211625387543,0.6795415709020745
11,FUNCTION_SCRAMBLED,might,0,0.07289016160211759,0.06332646474038484,0.018926000528153963,0.03020966074836906,0.4187556792021496,0.07289016160211759,0.15514262687065639
12,SENTENCE,should,2,0.24373180936709105,0.465900927558323,0.04632658966147574,0.06228918865235755,0.14641661789937643,0.24373180936709105,0.7559593265868898
12,JABBERWOCKY,should,2,0.1604391449072864,0.45772893848698004,0.08170577745477203,0.07188801255688304,0.15321351214151946,0.1604391449072864,0.6998738608490385
12,FULL_SCRAMBLED,should,2,0.16626469116818043,0.4699927605288394,0.048247852060740115,0.07810145497569465,0.1904067874820612,0.16626469116818043,0.68450530375776
12,CONTENT_SCRAMBLED,should,2,0.1306566691619082,0.5377241837049951,0.06550806580162316,0.08729730975755956,0.14741352651253692,0.1306566691619082,0.7338889186685265
12,FUNCTION_SCRAMBLED,should,0,0.06612854602281004,0.0687462599016726,0.021655106022080872,0.029645617672940716,0.40204726246156497,0.06612854602281004,0.15652991194656352
13,SENTENCE,would,2,0.20384685280077974,0.3808265160150768,0.06373300070845289,0.11217019841205911,0.19807607336406363,0.20384685280077974,0.6484063695243094
13,JABBERWOCKY,would,2,0.19302324579257402,0.3852071407090989,0.07967087020733743,0.08724232469103299,0.19729744913274772,0.19302324579257402,0.6579012567090103
13,FULL_SCRAMBLED,would,0,0.09134636976523325,0.07956435431697173,0.022432812547776848,0.03770724294008687,0.41178219335415633,0.09134636976523325,0.19334353662998183
13,CONTENT_SCRAMBLED,would,2,0.14495264252400375,0.5042888423977274,0.02112345933164761,0.044197412262292346,0.23641555757785682,0.14495264252400375,0.6703649442533788
13,FUNCTION_SCRAMBLED,would,0,0.09134636976523325,0.07956435431697173,0.022432812547776848,0.03770724294008687,0.41178219335415633,0.09134636976523325,0.19334353662998183
14,SENTENCE,may,2,0.2051032956915151,0.18234879149167682,0.1766942781068792,0.08167501904972596,0.31794741705743945,0.2051032956915151,0.5641463652900711
14,JABBERWOCKY,may,2,0.05413578145817155,0.2987614788580686,0.03349802876255126,0.04540113513940014,0.14911767671947018,0.05413578145817155,0.3863952890787914
14,FULL_SCRAMBLED,may,3,0.11504850276105572,0.45760591430735076,0.05857955665123882,0.09549708127087797,0.19514027262994205,0.11504850276105572,0.6312339737196453
14,CONTENT_SCRAMBLED,may,2,0.11641474108910188,0.4154547379730502,0.07306973906815983,0.0985957108096045,0.19975935012917034,0.11641474108910188,0.6049392181303119
14,FUNCTION_SCRAMBLED,may,4,0.17707425544722355,0.5382393695253995,0.01702555536030559,0.025839078407443594,0.17796402104067965,0.17707425544722355,0.7323391803329287
15,SENTENCE,may,2,0.2043954804466921,0.294580574878637,0.08095403407787671,0.0868528010614682,0.28449945665852283,0.2043954804466921,0.5799300894032058
15,JABBERWOCKY,may,2,0.14357861852477072,0.3792150792432949,0.09745679204206681,0.06521897407219512,0.20667289173798054,0.14357861852477072,0.6202504898101324
15,FULL_SCRAMBLED,may,0,0.04247260612464743,0.05112515899236314,0.011473785241832957,0.019462626631138846,0.3222617665451253,0.04247260612464743,0.10507155035884352
