condition,VerbOnly_mean,VerbOnly_std,n,VPStart_mean,VPStart_std,VerbOnly_se,VPStart_se
CONTENT_SCRAMBLED,0.16589745969595243,0.06049824395016041,30,0.6049230908857377,0.12878001396475913,0.0110454176336511,0.02351190620144296
FULL_SCRAMBLED,0.11122420198007603,0.08398948137505902,30,0.3337455602758079,0.25442429520665377,0.015334311180759947,0.04645130855401259
FUNCTION_SCRAMBLED,0.1366026820023156,0.08699019028641111,30,0.32018092184225677,0.21509064194359803,0.01588216316717805,0.03926999883359182
JABBERWOCKY,0.1796383212874692,0.047900957874345,30,0.597680514791379,0.10106652486785023,0.008745478384627824,0.018452138492926134
SENTENCE,0.2487556639229903,0.054053831898777834,30,0.6101331279921093,0.09031555074014481,0.009868834350184309,0.016489288144626572
